Ticket,Open Time,Type,Volume,Item,Inicio,SL,TP,Close Time,Fin,Commission,Taxes,Swap,Profit
23251911,2019.04.16 06:44:10,sell,0.01,usdchf,1.00359,0,1,2019.04.17 20:19:22,1.01051,0,0,-0.06,-6.85
23252477,2019.04.16 07:45:46,sell,0.01,usdchf,1.00359,0,1.00006,2019.04.17 20:19:22,1.01051,0,0,-0.06,-6.85
23258772,2019.04.16 12:25:38,buy,0.01,xauusd,1284.17,0,1295.59,2019.04.17 20:19:22,1273.95,0,0,-0.14,-10.22
23258814,2019.04.16 12:26:50,buy,0.01,xauusd,1284.26,0,1295.68,2019.04.17 20:19:22,1273.95,0,0,-0.14,-10.31
23258828,2019.04.16 12:27:24,sell,0.01,eurjpy,126.299,0,125.954,2019.04.17 20:19:22,126.515,0,0,0,-1.93
23260801,2019.04.16 14:15:36,buy,0.01,xauusd,1284.69,0,1294.17,2019.04.17 20:19:22,1273.95,0,0,-0.14,-10.74
23266526,2019.04.16 16:34:48,sell,0.01,usdjpy,111.967,0,111.404,2019.04.17 20:19:22,112.021,0,0,-0.03,-0.48
23266793,2019.04.16 16:41:12,sell,0.01,eurchf,1.13655,0,1.13109,2019.04.17 20:19:22,1.14161,0,0,-0.04,-5.01
23278713,2019.04.17 01:49:41,buy,0.01,usdmxn,18.88549,0,0,2019.04.17 20:19:22,18.81261,0,0,0,-3.87
23287406,2019.04.17 08:24:29,sell,0.01,audnzd,1.06786,0,1.06447,2019.04.17 20:19:22,1.06746,0,0,0,0.26
23287489,2019.04.17 08:25:34,sell,0.01,audnzd,1.06788,0,1.06451,2019.04.17 20:19:22,1.06746,0,0,0,0.28
23288877,2019.04.17 09:14:59,buy,0.01,usdmxn,18.84239,0,0,2019.04.17 20:19:22,18.81261,0,0,0,-1.58
23290403,2019.04.17 10:49:40,sell,0.01,cadjpy,84.051,0,83.404,2019.04.17 20:19:22,83.954,0,0,0,0.86
23284388,2019.04.17 05:07:15,sell,0.02,gbpchf,1.31394,1.32,1.3091,2019.04.17 20:19:26,1.31728,0,0,0,-6.61
